rownum,bioassay_id,material_id,material,core_size,hydro_size,surf_charge,specific_surf_area,Hsf,Ec,Ev,MeO,assay,cell_line,cell_species,cell_origin,cell_type,time,dose,viability,toxicity
1,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,0.001,92.5258,nonToxic
2,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,0.01,96.134,nonToxic
3,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,0.1,93.5567,nonToxic
4,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,1.0,97.6804,nonToxic
5,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,5.0,94.8454,nonToxic
6,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,10.0,96.3918,nonToxic
7,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,20.0,92.268,nonToxic
8,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,50.0,92.268,nonToxic
9,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,100.0,82.732,nonToxic
10,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,0.001,95.6897,nonToxic
11,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,0.01,94.4828,nonToxic
12,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,0.1,96.8966,nonToxic
13,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,1.0,99.4828,nonToxic
14,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,5.0,94.6552,nonToxic
15,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,10.0,95.431,nonToxic
16,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,20.0,94.3966,nonToxic
17,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,50.0,96.4655,nonToxic
18,1,1,Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,100.0,91.0345,nonToxic
19,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,0.001,96.134,nonToxic
20,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,0.01,100.0,nonToxic
21,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,0.1,95.3608,nonToxic
22,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,1.0,96.6495,nonToxic
23,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,5.0,74.7423,nonToxic
24,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,10.0,43.299,Toxic
25,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,20.0,15.2062,Toxic
26,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,50.0,13.6598,Toxic
27,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,100.0,13.6598,Toxic
28,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,0.001,96.9828,nonToxic
29,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,0.01,94.6552,nonToxic
30,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,0.1,95.431,nonToxic
31,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,1.0,98.2759,nonToxic
32,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,5.0,82.2414,nonToxic
33,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,10.0,62.3276,nonToxic
34,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,20.0,44.4828,Toxic
35,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,50.0,15.7759,Toxic
36,1,2,CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,100.0,13.9655,Toxic
37,1,3,Fe2O3,42.5,957.0,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,0.001,96.8912,nonToxic
38,1,3,Fe2O3,42.5,957.0,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,0.01,98.1865,nonToxic
39,1,3,Fe2O3,42.5,957.0,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,0.1,100.2591,nonToxic
40,1,3,Fe2O3,42.5,957.0,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,1.0,95.8549,nonToxic
41,1,3,Fe2O3,42.5,957.0,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,5.0,90.9326,nonToxic
