metal_core,coating,type_of_coating,aging,diameter,shape_group,geometric_surface_area,corresponding_sphere_diameter,atomic_radius,ionic_radius,xox,x,number_of_metal,number_of_oxygen,sum_of_x,sum_of_x_over_o,molecular_weight,group,period,absolute_electronegativity,energy_band_gap,zeta_potential
Ag,4% (w/v) each of polyoxyethylene glycerol trioleate and polyoxyethylene (20) sorbitan monolaurate (Tween 20),neutral,Pristine,19,Spherical,1134.114948,19,144,115,0,1.93,1,0,1.93,1.93,107.8682,11,5,4.44,1.46,-1.21
Ag2S,sulfate & PVP capped,neutral,Pristine,36,Agglomerated,4069.44,36,144,115,1,1.93,2,0,3.86,3.86,247.8,11,5,5.36,1.20,-50.5
Ag,Tannic acid / sodium citrate,anionic,Pristine,47.3,spherical,7025.0906,47.3,144,115,0,1.93,1,0,1.93,1.93,107.8682,11,5,5.36,1.46,-57.9
CeO2,HMTA,neutral,Pristine,30.8,Faceted,5691.84,42.56487921,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.20,5.7
CeO2,PEG 1500,neutral,Pristine,4.5,Spherical,63.61725124,4.5,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.20,0.024
CeO2,Ethylenediamine,neutral,Pristine,3,Spherical,28.27433388,3,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.20,-8.32
CeO2,Ethylenediamine,neutral,Pristine,83,Nanorods,21642.43179,83,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.20,-3
CeO2,uncoated,uncoated,Pristine,8.2,Spherical,211.24069,8.2,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.20,3.14
CeO2,PVP 10k,neutral,Pristine,7.625,Spherical,182.6541604,7.625,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.20,0.43
CeO2,PVP 40k,neutral,Pristine,8.992,Spherical,254.0168167,8.992,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.20,0.62
CeO2,PVP 360k,neutral,Pristine,12.976,Spherical,528.9706142,12.976,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.20,-0.52
CeO2,uncoated,neutral,Aged,1000,sea urchins,3140000,1000,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.20,0
