rownum,bioassay_id,material_id,cell_type_id,nanoparticle,type_organic_inorganic,coat,diameter,dose,zeta_potential,cell_type,cell_line_or_primary,human_or_animal,animal_species,cell_morphology,cell_age_embryonic_or_adult,cell_organ_or_tissue,exposure_time,test_assay,test_indicator,biochemical_metric,cell_viability,inference_checked_y_n,colloidal_stability_checked_y_n,positive_control_y_n,publication_year,particle_id,reference_doi
1,1,1,1,CeO2,I,,20.3,0.002477828766,,L929,L,A,Mouse,Fibroblast,A,Areolar tissue,24,MTT,tetrazolium salt,cell metabolic activity,105.58918,N,N,N,2015,1,10.1016/j.ceramint.2014.09.095
2,1,1,1,CeO2,I,,20.3,0.004955657533,,L929,L,A,Mouse,Fibroblast,A,Areolar tissue,24,MTT,tetrazolium salt,cell metabolic activity,103.02621,N,N,N,2015,1,10.1016/j.ceramint.2014.09.095
3,1,1,1,CeO2,I,,20.3,0.009911315066,,L929,L,A,Mouse,Fibroblast,A,Areolar tissue,24,MTT,tetrazolium salt,cell metabolic activity,104.85748,N,N,N,2015,1,10.1016/j.ceramint.2014.09.095
4,1,1,1,CeO2,I,,20.3,0.01982263013,,L929,L,A,Mouse,Fibroblast,A,Areolar tissue,24,MTT,tetrazolium salt,cell metabolic activity,100.0967,N,N,N,2015,1,10.1016/j.ceramint.2014.09.095
5,1,1,1,CeO2,I,,20.3,0.03964526026,,L929,L,A,Mouse,Fibroblast,A,Areolar tissue,24,MTT,tetrazolium salt,cell metabolic activity,97.53237,N,N,N,2015,1,10.1016/j.ceramint.2014.09.095
6,2,2,2,Se,I,,79.6,1.307545634e-06,0.0,PC3,L,H,Human,Epithelial,A,Prostate,24,XTT,tetrazolium salt,cell metabolic activity,91.09037,N,N,N,2014,2,10.4172/2157-7439.1000194
7,2,2,2,Se,I,,79.6,2.615091268e-06,0.0,PC3,L,H,Human,Epithelial,A,Prostate,24,XTT,tetrazolium salt,cell metabolic activity,77.62113,N,N,N,2014,2,10.4172/2157-7439.1000194
8,2,2,2,Se,I,,79.6,5.230182535e-06,0.0,PC3,L,H,Human,Epithelial,A,Prostate,24,XTT,tetrazolium salt,cell metabolic activity,54.2135,N,N,N,2014,2,10.4172/2157-7439.1000194
9,2,2,2,Se,I,,79.6,7.845273803e-06,0.0,PC3,L,H,Human,Epithelial,A,Prostate,24,XTT,tetrazolium salt,cell metabolic activity,44.062363,N,N,N,2014,2,10.4172/2157-7439.1000194
10,3,3,3,CuO,I,,52.51,3.471326159e-05,-39.67,A549,L,H,Human,Epithelial,A,Lung,24,MTT,tetrazolium salt,cell metabolic activity,74.58716,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156
11,3,3,3,CuO,I,,52.51,8.678315397e-05,-39.67,A549,L,H,Human,Epithelial,A,Lung,24,MTT,tetrazolium salt,cell metabolic activity,66.055046,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156
12,3,3,3,CuO,I,,52.51,0.0001735663079,-39.67,A549,L,H,Human,Epithelial,A,Lung,24,MTT,tetrazolium salt,cell metabolic activity,48.16514,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156
13,4,3,3,CuO,I,,52.51,3.471326159e-05,-39.67,A549,L,H,Human,Epithelial,A,Lung,24,NR,toluylene red,lysosomal uptake,84.71387,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156
14,4,3,3,CuO,I,,52.51,8.678315397e-05,-39.67,A549,L,H,Human,Epithelial,A,Lung,24,NR,toluylene red,lysosomal uptake,68.67281,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156
15,4,3,3,CuO,I,,52.51,0.0001735663079,-39.67,A549,L,H,Human,Epithelial,A,Lung,24,NR,toluylene red,lysosomal uptake,45.37968,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156
16,5,4,4,CuO,I,,239.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,98.8764,N,Y,N,2011,4,10.1007/s10565-011-9191-9
17,5,4,4,CuO,I,,239.0,3.681525e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,4,10.1007/s10565-011-9191-9
18,5,4,4,CuO,I,,239.0,3.6815251e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,4,10.1007/s10565-011-9191-9
19,5,4,4,CuO,I,,239.0,3.68152516e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,98.8764,N,Y,N,2011,4,10.1007/s10565-011-9191-9
20,5,4,4,CuO,I,,239.0,1.840762581e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,84.26966,N,Y,N,2011,4,10.1007/s10565-011-9191-9
21,5,4,4,CuO,I,,239.0,3.681525162e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,65.16854,N,Y,N,2011,4,10.1007/s10565-011-9191-9
22,5,4,4,CuO,I,,239.0,7.363050324e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,46.067417,N,Y,N,2011,4,10.1007/s10565-011-9191-9
23,5,4,4,CuO,I,,239.0,1.840762581e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,16.853933,N,Y,N,2011,4,10.1007/s10565-011-9191-9
24,5,4,4,CuO,I,,239.0,3.681525162e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,14.606742,N,Y,N,2011,4,10.1007/s10565-011-9191-9
25,5,4,4,CuO,I,,239.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,4,10.1007/s10565-011-9191-9
26,5,4,4,CuO,I,,239.0,3.681525e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,100.0,N,Y,N,2011,4,10.1007/s10565-011-9191-9
27,5,4,4,CuO,I,,239.0,3.6815251e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,95.505615,N,Y,N,2011,4,10.1007/s10565-011-9191-9
28,5,4,4,CuO,I,,239.0,3.68152516e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,4,10.1007/s10565-011-9191-9
29,5,4,4,CuO,I,,239.0,1.840762581e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,75.2809,N,Y,N,2011,4,10.1007/s10565-011-9191-9
30,5,4,4,CuO,I,,239.0,3.681525162e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,43.820225,N,Y,N,2011,4,10.1007/s10565-011-9191-9
31,5,4,4,CuO,I,,239.0,7.363050324e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,15.730337,N,Y,N,2011,4,10.1007/s10565-011-9191-9
32,5,4,4,CuO,I,,239.0,1.840762581e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,13.483146,N,Y,N,2011,4,10.1007/s10565-011-9191-9
33,5,4,4,CuO,I,,239.0,3.681525162e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,13.483146,N,Y,N,2011,4,10.1007/s10565-011-9191-9
34,6,4,4,CuO,I,,239.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,46.294353,N,Y,N,2011,4,10.1007/s10565-011-9191-9
35,6,4,4,CuO,I,,239.0,3.681525e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,44.390324,N,Y,N,2011,4,10.1007/s10565-011-9191-9
36,6,4,4,CuO,I,,239.0,3.6815251e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,44.36371,N,Y,N,2011,4,10.1007/s10565-011-9191-9
37,6,4,4,CuO,I,,239.0,3.68152516e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,33.08468,N,Y,N,2011,4,10.1007/s10565-011-9191-9
38,6,4,4,CuO,I,,239.0,1.840762581e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,27.435486,N,Y,N,2011,4,10.1007/s10565-011-9191-9
39,6,4,4,CuO,I,,239.0,3.681525162e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,12.40403,N,Y,N,2011,4,10.1007/s10565-011-9191-9
40,6,4,4,CuO,I,,239.0,7.363050324e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,12.37742,N,Y,N,2011,4,10.1007/s10565-011-9191-9
41,6,4,4,CuO,I,,239.0,1.840762581e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,-6.40161,N,Y,N,2011,4,10.1007/s10565-011-9191-9
42,6,4,4,CuO,I,,239.0,3.681525162e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,-32.67822,N,Y,N,2011,4,10.1007/s10565-011-9191-9
43,6,4,4,CuO,I,,239.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,43.374195,N,Y,N,2011,4,10.1007/s10565-011-9191-9
44,6,4,4,CuO,I,,239.0,3.681525e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,41.47016,N,Y,N,2011,4,10.1007/s10565-011-9191-9
